Part	Value	Device	Package	Description	ASK	ASK_CUSTOMERPN	ASK_PN	CUSTOMERPN	FSK	FSK_PN	FSK_CUSTOMERPN	MIFARE	PASSIVO	MIFARE_PN	MIFARE_CUSTOMERPN	PN1	PSK	PSK_PN	SPECIAL	PSK_CUSTOMERPN
C29	F:0.1uP:10n	C-USC0402	C0402	CAPACITOR, American symbol					X	CL05B104KO5NNNC			Sim				X	CL05B103KB5NNNC		C/0.1u/16V/A04
C30	680p	C-USC0402	C0402	CAPACITOR, American symbol	X	C/680p/25V/C04	CL05B681KB5NNNC		X	CL05B681KB5NNNC	C/680p/25V/C04		Sim				X	CL05B681KB5NNNC		C/680p/25V/C04
C31	F:220pP:68p	C-USC0402	C0402	CAPACITOR, American symbol					X	CL05C221JB5NNNC	C/220p/25V/D04		Sim				X	CL05C680JB5NNNC		C/68p/25V/D04
C32	F:1nP:100p	C-USC0402	C0402	CAPACITOR, American symbol					X	C0402C102J1GACTU	C/1n/100V/D04		Sim				X	CL05C101JB5NNNC		C/100p/50V/D04
C33	68p	C-USC0402	C0402	CAPACITOR, American symbol	X	C/68p/25V/D04	CL05C680JB5NNNC		X	CL05C680JB5NNNC	C/68p/25V/D04		Sim				X	CL05C680JB5NNNC		C/68p/25V/D04
C34	0.1u	C-USC0402	C0402	CAPACITOR, American symbol	X	C/0.1u/16V/A04	CL05B104KO5NNNC		X	CL05B104KO5NNNC	C/0.1u/16V/A04		Sim				X	CL05B104KO5NNNC		C/0.1u/16V/A04
C35	F:0.1uP:10n	C-USC0402	C0402	CAPACITOR, American symbol					X	CL05B104KO5NNNC	C/0.1u/16V/A04		Sim				X	CL05B103KB5NNNC		C/10n/50V/C04
C36	47p	C-USC0402	C0402	CAPACITOR, American symbol					X	GRM1555C1H470FA01D	C/47p/25V/E04		Sim				X	GRM1555C1H470FA01D		C/47p/25V/E04
C37	47p	C-USC0402	C0402	CAPACITOR, American symbol					X	GRM1555C1H470FA01D	C/47p/25V/E04		Sim				X	GRM1555C1H470FA01D		C/47p/25V/E04
C38	F:220pP:68p	C-USC0402	C0402	CAPACITOR, American symbol					X	CL05C221JB5NNNC	C/220p/25V/D04		Sim				X	CL05C680JB5NNNC		C/68p/25V/D04
C39	F:1nP:100p	C-USC0402	C0402	CAPACITOR, American symbol					X	C0402C102J1GACTU	C/1n/100V/D04		Sim				X	CL05C101JB5NNNC		C/100p/50V/D04
C40	47p	C-USC0402	C0402	CAPACITOR, American symbol					X	GRM1555C1H470FA01D	C/47p/25V/E04		Sim				X	GRM1555C1H470FA01D		C/47p/25V/E04
C41	47p	C-USC0402	C0402	CAPACITOR, American symbol					X	GRM1555C1H470FA01D	C/47p/25V/E04		Sim				X	GRM1555C1H470FA01D		C/47p/25V/E04
C42	0.1u	C-USC0402	C0402	CAPACITOR, American symbol	X	C/0.1u/16V/A04	CL05B104KO5NNNC		X	CL05B104KO5NNNC	C/0.1u/16V/A04		Sim				X	CL05B104KO5NNNC		C/0.1u/16V/A04
C43	F:220pP:68p	C-USC0402	C0402	CAPACITOR, American symbol					X	CL05C221JB5NNNC	C/220p/25V/D04		Sim				X	CL05C680JB5NNNC		C/680p/25V/C04
C44	F:1nP:100p	C-USC0402	C0402	CAPACITOR, American symbol					X	C0402C102J1GACTU	C/1n/100V/D04		Sim				X	CL05C101JB5NNNC		C/100p/50V/D04
C45	F:0.1uP:10n	C-USC0402	C0402	CAPACITOR, American symbol					X	CL05B104KO5NNNC	C/0.1u/16V/A04		Sim				X	CL05B103KB5NNNC		C/10n/50V/C04
C46	18p	C-USC0603	C0603	CAPACITOR, American symbol								X	Sim	CL05C180JB5NNNC	C/18p/50V/D06					
C47	18p	C-USC0603	C0603	CAPACITOR, American symbol								X	Sim	CL05C180JB5NNNC	C/18p/50V/D06					
C48	0.1u	C-USC0402	C0402	CAPACITOR, American symbol								X	Sim	CL05B104KO5NNNC	C/0.1u/16V/A04					
C49	100p	C-USC0402	C0402	CAPACITOR, American symbol								X	Sim	CL05C101JB5NNNC	C/100p/50V/D04					
C50	100p	C-USC0402	C0402	CAPACITOR, American symbol								X	Sim	CL05C101JB5NNNC	C/100p/50V/D04					
C51	1n	C-USC0402	C0402	CAPACITOR, American symbol								X	Sim	C0402C102J1GACTU	C/1n/100V/D04					
C52	0.1u	C-USC0402	C0402	CAPACITOR, American symbol								X	Sim	CL05B104KO5NNNC	C/0.1u/16V/A04					
C53	0.1u	C-USC0402	C0402	CAPACITOR, American symbol								X	Sim	CL05B104KO5NNNC	C/0.1u/16V/A04					
C54	120p	C-USC0603	C0603	CAPACITOR, American symbol								X	Sim	06035U121FAT2A	C/120p/50V/E06					
C55	120p	C-USC0603	C0603	CAPACITOR, American symbol								X	Sim	06035U121FAT2A	C/120p/50V/E06					
C56	18p	C-USC0603	C0603	CAPACITOR, American symbol								X	Sim	CL05C180JB5NNNC	C/18p/50V/E06					
C57	18p	C-USC0603	C0603	CAPACITOR, American symbol								X	Sim	CL05C180JB5NNNC	C/18p/50V/E06					
C58	0.1u	C-USC0402	C0402	CAPACITOR, American symbol								X	Sim	CL05B104KO5NNNC	C/0.1u/16V/A04					
C59	56p	C-USC0603	C0603	CAPACITOR, American symbol								X	Sim	06031U560FAT2A	C/56p/100V/E06					
C60	56p	C-USC0603	C0603	CAPACITOR, American symbol								X	Sim	06031U560FAT2A	C/56p/100V/E06					
C61	0.1u	C-USC0402	C0402	CAPACITOR, American symbol								X	Sim	CL05B104KO5NNNC	C/0.1u/16V/A04					
C62	0.1u	C-USC0402	C0402	CAPACITOR, American symbol								X	Sim	CL05B104KO5NNNC	C/0.1u/16V/A04					
C63	0.1u	C-USC0402	C0402	CAPACITOR, American symbol	X	C/0.1u/16V/A04	CL05B104KO5NNNC		X	CL05B104KO5NNNC	C/0.1u/16V/A04	X	Sim	CL05B104KO5NNNC	C/0.1u/16V/A04		X	C/0.1u/16V/A04		CL05B104KO5NNNC
C64	0.1u	C-USC0402	C0402	CAPACITOR, American symbol	X	DNP	CL05B104KO5NNNC		X	CL05B104KO5NNNC	DNP	X	Sim	CL05B104KO5NNNC	DNP		X	DNP		CL05B104KO5NNNC
CARDPRS	CARD-PRES	PTHPAD	HOLE																	
D0/TX/CLK	D0/CLK/TX	PTHPAD	HOLE																	
D1	BYG20J	BYG20J	SMA		X	D/BYG20J	BYG20J-E3/TR		X	BYG20J-E3/TR	D/BYG20J	X	Sim	BYG20J-E3/TR	D/BYG20J		X	BYG20J-E3/TR		D/BYG20J
D1/DATA	D1/DATA	PTHPAD	HOLE																	
D2		DIODE-DO214AC	DO214AC	DIODE	X	TVS/14V/SMA	SMAJ14A		X	SMAJ14A	TVS/14V/SMA	X	Sim	SMAJ14A	TVS/14V/SMA		X	SMAJ14A		TVS/14V/SMA
D3	BYG20J	BYG20J	SMA		X	D/BYG20J	BYG20J-E3/TR		X	BYG20J-E3/TR	D/BYG20J		Sim				X	BYG20J-E3/TR		D/BYG20J
D4	BAT54S	BAT54S	SOT23	Schottky Diodes	X	D/BAT54S/SOT23	BAT54S,215		X	BAT54S,215	D/BAT54S/SOT23	X		BAT54S,215	D/BAT54S/SOT23		X	BAT54S,215		D/BAT54S/SOT23
D5	BAT54S	BAT54S	SOT23	Schottky Diodes	X	D/BAT54S/SOT23	BAT54S,215		X	BAT54S,215	D/BAT54S/SOT23	X		BAT54S,215	D/BAT54S/SOT23		X	BAT54S,215		D/BAT54S/SOT23
FID1	FIDUCIAL1.5X3	FIDUCIAL1.5X3	FIDUCIAL-1.5X3	Fiducial Alignment Points																
FID3	FIDUCIAL1.5X3	FIDUCIAL1.5X3	FIDUCIAL-1.5X3	Fiducial Alignment Points																
GND	GND	PTHPAD	HOLE																	
IC1	TL084	TL084	TSSOP14	OP AMP	X	IC/TL084/TSSOP14	TL084CPT		X	TL084CPT	IC/TL084/TSSOP14						X	TL084CPT		IC/TL084/TSSOP14
IC2	TL084	TL084	TSSOP14	OP AMP					X	TL084CPT	IC/TL084/TSSOP14						X	TL084CPT		IC/TL084/TSSOP14
L1	22n	R-EU_R0402	R0402	RESISTOR, European symbol								X	Sim	CIH05T22NJNC	L/22n/0.2A/04					
L2	22n	R-EU_R0402	R0402	RESISTOR, European symbol								X	Sim	CIH05T22NJNC	L/22n/0.2A/04					
L3	1u	R-EU_R0603	R0603	RESISTOR, European symbol								X	Sim	BRC1608T1R0M	L/1u/0.5A/06					
L4	1u	R-EU_R0603	R0603	RESISTOR, European symbol								X	Sim	BRC1608T1R0M	L/1u/0.5A/06					
